clip_id,language,emotion,text,audio_filename,status,notes
bn_0001,bengali,neutral,"আজ সকালে আমি একটু তাড়াতাড়ি ঘুম থেকে উঠেছি।",bn_0001.wav,pending,
bn_0002,bengali,warm,"হ্যালো, আমি পৃথি। তোমার সঙ্গে কথা বলে ভালো লাগছে।",bn_0002.wav,pending,
bn_0003,bengali,playful,"আজকে চা বানাতে গিয়ে চিনি দিতেই ভুলে গেছি!",bn_0003.wav,pending,
bn_0004,bengali,caring,"তুমি ক্লান্ত হলে একটু বিশ্রাম নিয়ে তারপর কাজ করো।",bn_0004.wav,pending,
bn_0005,bengali,neutral,"বিকেলে বাজার থেকে কিছু তাজা ফল নিয়ে আসব।",bn_0005.wav,pending,
bn_0006,bengali,warm,"তোমার আজকের ছোট্ট সাফল্যটাও আমার কাছে খুব আনন্দের।",bn_0006.wav,pending,
bn_0007,bengali,playful,"বৃষ্টির দিনে জানালার পাশে বসে গল্প করলে মন্দ হয় না।",bn_0007.wav,pending,
bn_0008,bengali,caring,"সময়মতো জল খেয়ো, সারাদিন ব্যস্ত থাকলেও ভুলে যেয়ো না।",bn_0008.wav,pending,
bn_0009,bengali,neutral,"আমাদের দেখা করার সময়টা সন্ধ্যা ছয়টায় ঠিক হয়েছে।",bn_0009.wav,pending,
bn_0010,bengali,warm,"তোমার হাসিটা দেখলে মনটা এমনিই ভালো হয়ে যায়।",bn_0010.wav,pending,
bn_0011,bengali,playful,"চলো আজ রাতের খাবারে নতুন কিছু রান্না করি।",bn_0011.wav,pending,
bn_0012,bengali,caring,"মন খারাপ থাকলে আমাকে বলো, আমি মন দিয়ে শুনব।",bn_0012.wav,pending,
bn_0013,bengali,neutral,"আগামীকাল সকালে আমার একটি জরুরি কাজ আছে।",bn_0013.wav,pending,
bn_0014,bengali,warm,"অনেক দিন পরে তোমার খবর পেয়ে সত্যিই ভালো লাগল।",bn_0014.wav,pending,
bn_0015,bengali,playful,"তুমি কি আবার চুপিচুপি আমার চকোলেট খেয়ে ফেলেছ?",bn_0015.wav,pending,
bn_0016,bengali,caring,"বাড়ি পৌঁছে আমাকে একবার জানিয়ো, তাহলে নিশ্চিন্ত হব।",bn_0016.wav,pending,
bn_0017,bengali,neutral,"আজকের মিটিংটি দুপুর তিনটায় শুরু হবে।",bn_0017.wav,pending,
bn_0018,bengali,warm,"তোমার সঙ্গে শান্তভাবে কিছু সময় কাটাতে চাই।",bn_0018.wav,pending,
bn_0019,bengali,playful,"এই গানটা শুনলেই আমার নাচতে ইচ্ছে করে।",bn_0019.wav,pending,
bn_0020,bengali,caring,"আজ বেশি কাজ কোরো না, নিজের যত্ন নেওয়াও জরুরি।",bn_0020.wav,pending,
hi_0001,hindi,neutral,"आज सुबह मौसम काफी साफ और सुहाना है।",hi_0001.wav,pending,
hi_0002,hindi,warm,"तुमसे बात करके मेरा दिन थोड़ा बेहतर हो गया।",hi_0002.wav,pending,
hi_0003,hindi,playful,"लगता है आज चाय मुझसे ज्यादा नींद में है!",hi_0003.wav,pending,
hi_0004,hindi,caring,"अगर थक गए हो, तो थोड़ी देर आराम कर लो।",hi_0004.wav,pending,
hi_0005,hindi,neutral,"मैं शाम को दुकान से जरूरी सामान ले आऊंगी।",hi_0005.wav,pending,
hi_0006,hindi,warm,"तुम्हारी आवाज सुनकर सच में बहुत अच्छा लगा।",hi_0006.wav,pending,
hi_0007,hindi,playful,"चलो आज देखते हैं खाना कौन बेहतर बनाता है।",hi_0007.wav,pending,
hi_0008,hindi,caring,"घर पहुंचकर एक संदेश भेज देना, मुझे चिंता नहीं होगी।",hi_0008.wav,pending,
en_0001,english,neutral,"I will finish my work before dinner this evening.",en_0001.wav,pending,
en_0002,english,warm,"It is always lovely to hear how your day went.",en_0002.wav,pending,
en_0003,english,playful,"I think my coffee needs another cup of coffee today!",en_0003.wav,pending,
en_0004,english,caring,"Please take a short break if you are feeling tired.",en_0004.wav,pending,
mix_0001,mixed,neutral,"আজকের meeting দুপুর তিনটায় শুরু হবে।",mix_0001.wav,pending,
mix_0002,mixed,warm,"তোমার message পেয়ে আমার সত্যিই খুব ভালো লাগল।",mix_0002.wav,pending,
mix_0003,mixed,playful,"চলো আজ dinner-এর পরে একটা funny movie দেখি।",mix_0003.wav,pending,
mix_0004,mixed,caring,"কাজ শেষ হলে আমাকে call কোরো, আমি অপেক্ষা করব।",mix_0004.wav,pending,
mix_0005,mixed,neutral,"आज की online class शाम पांच बजे शुरू होगी।",mix_0005.wav,pending,
mix_0006,mixed,warm,"तुम्हारा voice note सुनकर मुझे बहुत अच्छा लगा।",mix_0006.wav,pending,
mix_0007,mixed,playful,"आज dinner तुम बनाओ, dessert मैं लेकर आऊंगी।",mix_0007.wav,pending,
mix_0008,mixed,caring,"घर पहुंचकर please एक छोटा सा message कर देना।",mix_0008.wav,pending,
