clip_id,language,emotion,text,audio_filename,voice_id,language_code,output_path,duration,sample_rate,file_size,status,error
bn_0001,bengali,neutral,আজ সকালে আমি একটু তাড়াতাড়ি ঘুম থেকে উঠেছি।,bn_0001.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0001.wav,3.360,24000,161324,SUCCESS,
bn_0002,bengali,warm,"হ্যালো, আমি পৃথি। তোমার সঙ্গে কথা বলে ভালো লাগছে।",bn_0002.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0002.wav,3.720,24000,178604,SUCCESS,
bn_0003,bengali,playful,আজকে চা বানাতে গিয়ে চিনি দিতেই ভুলে গেছি!,bn_0003.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0003.wav,3.200,24000,153644,SUCCESS,
bn_0004,bengali,caring,তুমি ক্লান্ত হলে একটু বিশ্রাম নিয়ে তারপর কাজ করো।,bn_0004.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0004.wav,3.880,24000,186284,SUCCESS,
bn_0005,bengali,neutral,বিকেলে বাজার থেকে কিছু তাজা ফল নিয়ে আসব।,bn_0005.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0005.wav,3.280,24000,157484,SUCCESS,
bn_0006,bengali,warm,তোমার আজকের ছোট্ট সাফল্যটাও আমার কাছে খুব আনন্দের।,bn_0006.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0006.wav,3.640,24000,174764,SUCCESS,
bn_0007,bengali,playful,বৃষ্টির দিনে জানালার পাশে বসে গল্প করলে মন্দ হয় না।,bn_0007.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0007.wav,3.760,24000,180524,SUCCESS,
bn_0008,bengali,caring,"সময়মতো জল খেয়ো, সারাদিন ব্যস্ত থাকলেও ভুলে যেয়ো না।",bn_0008.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0008.wav,3.800,24000,182444,SUCCESS,
bn_0009,bengali,neutral,আমাদের দেখা করার সময়টা সন্ধ্যা ছয়টায় ঠিক হয়েছে।,bn_0009.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0009.wav,3.680,24000,176684,SUCCESS,
bn_0010,bengali,warm,তোমার হাসিটা দেখলে মনটা এমনিই ভালো হয়ে যায়।,bn_0010.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0010.wav,3.200,24000,153644,SUCCESS,
bn_0011,bengali,playful,চলো আজ রাতের খাবারে নতুন কিছু রান্না করি।,bn_0011.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0011.wav,3.240,24000,155564,SUCCESS,
bn_0012,bengali,caring,"মন খারাপ থাকলে আমাকে বলো, আমি মন দিয়ে শুনব।",bn_0012.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0012.wav,3.320,24000,159404,SUCCESS,
bn_0013,bengali,neutral,আগামীকাল সকালে আমার একটি জরুরি কাজ আছে।,bn_0013.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0013.wav,3.280,24000,157484,SUCCESS,
bn_0014,bengali,warm,অনেক দিন পরে তোমার খবর পেয়ে সত্যিই ভালো লাগল।,bn_0014.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0014.wav,3.320,24000,159404,SUCCESS,
bn_0015,bengali,playful,তুমি কি আবার চুপিচুপি আমার চকোলেট খেয়ে ফেলেছ?,bn_0015.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0015.wav,3.200,24000,153644,SUCCESS,
bn_0016,bengali,caring,"বাড়ি পৌঁছে আমাকে একবার জানিয়ো, তাহলে নিশ্চিন্ত হব।",bn_0016.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0016.wav,3.840,24000,184364,SUCCESS,
bn_0017,bengali,neutral,আজকের মিটিংটি দুপুর তিনটায় শুরু হবে।,bn_0017.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0017.wav,3.240,24000,155564,SUCCESS,
bn_0018,bengali,warm,তোমার সঙ্গে শান্তভাবে কিছু সময় কাটাতে চাই।,bn_0018.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0018.wav,3.000,24000,144044,SUCCESS,
bn_0019,bengali,playful,এই গানটা শুনলেই আমার নাচতে ইচ্ছে করে।,bn_0019.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0019.wav,2.800,24000,134444,SUCCESS,
bn_0020,bengali,caring,"আজ বেশি কাজ কোরো না, নিজের যত্ন নেওয়াও জরুরি।",bn_0020.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/bengali/bn_0020.wav,3.600,24000,172844,SUCCESS,
hi_0001,hindi,neutral,आज सुबह मौसम काफी साफ और सुहाना है।,hi_0001.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0001.wav,2.840,24000,136364,SUCCESS,
hi_0002,hindi,warm,तुमसे बात करके मेरा दिन थोड़ा बेहतर हो गया।,hi_0002.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0002.wav,2.680,24000,128684,SUCCESS,
hi_0003,hindi,playful,लगता है आज चाय मुझसे ज्यादा नींद में है!,hi_0003.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0003.wav,2.640,24000,126764,SUCCESS,
hi_0004,hindi,caring,"अगर थक गए हो, तो थोड़ी देर आराम कर लो।",hi_0004.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0004.wav,2.760,24000,132524,SUCCESS,
hi_0005,hindi,neutral,मैं शाम को दुकान से जरूरी सामान ले आऊंगी।,hi_0005.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0005.wav,2.640,24000,126764,SUCCESS,
hi_0006,hindi,warm,तुम्हारी आवाज सुनकर सच में बहुत अच्छा लगा।,hi_0006.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0006.wav,2.800,24000,134444,SUCCESS,
hi_0007,hindi,playful,चलो आज देखते हैं खाना कौन बेहतर बनाता है।,hi_0007.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0007.wav,3.160,24000,151724,SUCCESS,
hi_0008,hindi,caring,"घर पहुंचकर एक संदेश भेज देना, मुझे चिंता नहीं होगी।",hi_0008.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/hindi/hi_0008.wav,3.400,24000,163244,SUCCESS,
en_0001,english,neutral,I will finish my work before dinner this evening.,en_0001.wav,en-IN-Chirp3-HD-Leda,en-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/english/en_0001.wav,2.720,24000,130604,SUCCESS,
en_0002,english,warm,It is always lovely to hear how your day went.,en_0002.wav,en-IN-Chirp3-HD-Leda,en-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/english/en_0002.wav,2.640,24000,126764,SUCCESS,
en_0003,english,playful,I think my coffee needs another cup of coffee today!,en_0003.wav,en-IN-Chirp3-HD-Leda,en-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/english/en_0003.wav,2.880,24000,138284,SUCCESS,
en_0004,english,caring,Please take a short break if you are feeling tired.,en_0004.wav,en-IN-Chirp3-HD-Leda,en-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/english/en_0004.wav,2.720,24000,130604,SUCCESS,
mix_0001,mixed,neutral,আজকের meeting দুপুর তিনটায় শুরু হবে।,mix_0001.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0001.wav,3.000,24000,144044,SUCCESS,
mix_0002,mixed,warm,তোমার message পেয়ে আমার সত্যিই খুব ভালো লাগল।,mix_0002.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0002.wav,3.040,24000,145964,SUCCESS,
mix_0003,mixed,playful,চলো আজ dinner-এর পরে একটা funny movie দেখি।,mix_0003.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0003.wav,3.240,24000,155564,SUCCESS,
mix_0004,mixed,caring,"কাজ শেষ হলে আমাকে call কোরো, আমি অপেক্ষা করব।",mix_0004.wav,bn-IN-Chirp3-HD-Leda,bn-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0004.wav,3.400,24000,163244,SUCCESS,
mix_0005,mixed,neutral,आज की online class शाम पांच बजे शुरू होगी।,mix_0005.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0005.wav,2.800,24000,134444,SUCCESS,
mix_0006,mixed,warm,तुम्हारा voice note सुनकर मुझे बहुत अच्छा लगा।,mix_0006.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0006.wav,2.760,24000,132524,SUCCESS,
mix_0007,mixed,playful,"आज dinner तुम बनाओ, dessert मैं लेकर आऊंगी।",mix_0007.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0007.wav,2.800,24000,134444,SUCCESS,
mix_0008,mixed,caring,घर पहुंचकर please एक छोटा सा message कर देना।,mix_0008.wav,hi-IN-Chirp3-HD-Leda,hi-IN,/teamspace/studios/this_studio/prithi-voice/dataset/synthetic_google_leda/mixed/mix_0008.wav,2.880,24000,138284,SUCCESS,
